"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4brUAB","false","PA-0000095","USD","a0c1N00000MVcZvQAL",,,,"01t1N00000EURLlQAP","false","Add",,,,"true"
"a0Z1N00000Eo4bRUAR","false","PA-0000068","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKrQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bsUAB","false","PA-0000096","USD","a0c1N00000MVcZuQAL",,,,"01t1N00000EURLlQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bSUAR","false","PA-0000069","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bTUAR","false","PA-0000070","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLTQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bUUAR","false","PA-0000071","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLVQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bVUAR","false","PA-0000072","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURKsQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bWUAR","false","PA-0000073","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURLiQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bXUAR","false","PA-0000074","USD","a0c1N00000MVcZiQAL",,,,"01t1N00000EURMBQA5","false","Remove",,,,"true"
"a0Z1N00000Eo4bYUAR","false","PA-0000075","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKzQAP","false","Remove",,,,"true"
"a0Z1N00000Eo4bZUAR","false","PA-0000076","USD","a0c1N00000MVcZkQAL",,,,"01t1N00000EURKuQAP","false","Remove",,,,"true"
