"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhlyQAA","false","COST-000168","AUD","true","01t1N00000EURMPQA5","44.0"
"a051N000041nhlYQAQ","false","COST-000142","AUD","true","01t1N00000EURKpQAP","1489.6"
"a051N000041nhlzQAA","false","COST-000169","AUD","true","01t1N00000EURMQQA5","427.8"
"a051N000041nhlZQAQ","false","COST-000143","AUD","true","01t1N00000EURKqQAP","2074.8"
"a051N000041nhm0QAA","false","COST-000170","AUD","true","01t1N00000EURMRQA5","872.4"
"a051N000041nhm1QAA","false","COST-000171","AUD","true","01t1N00000EURKrQAP","1223.4"
"a051N000041nhm2QAA","false","COST-000172","AUD","true","01t1N00000EURMSQA5","2014.4"
"a051N000041nhm3QAA","false","COST-000173","AUD","true","01t1N00000EURMTQA5","2359.8"
"a051N000041nhm4QAA","false","COST-000174","AUD","true","01t1N00000EURMUQA5","1027.8"
"a051N000041nhm5QAA","false","COST-000175","AUD","true","01t1N00000EURLUQA5","1371.3"
"a051N000041nhm6QAA","false","COST-000176","AUD","true","01t1N00000EURMVQA5","1428.6"
"a051N000041nhm7QAA","false","COST-000177","AUD","true","01t1N00000EURMWQA5","1480.2"
"a051N000041nhm8QAA","false","COST-000178","AUD","true","01t1N00000EURMXQA5","1768.9"
"a051N000041nhm9QAA","false","COST-000179","AUD","true","01t1N00000EURLIQA5","2821.6"
"a051N000041nhmaQAA","false","COST-000207","CAD","true","01t1N00000EURLzQAP","427.0"
"a051N000041nhmAQAQ","false","COST-000180","AUD","true","01t1N00000EURMYQA5","3084.8"
"a051N000041nhmbQAA","false","COST-000208","CAD","true","01t1N00000EURLWQA5","781.6"
"a051N000041nhmBQAQ","false","COST-000181","AUD","true","01t1N00000EURMZQA5","0.0"
"a051N000041nhmcQAA","false","COST-000209","CAD","true","01t1N00000EURKxQAP","396.9"
"a051N000041nhmCQAQ","false","COST-000182","AUD","true","01t1N00000EURMaQAP","0.0"
"a051N000041nhmdQAA","false","COST-000210","CAD","true","01t1N00000EURL2QAP","243.0"
"a051N000041nhmDQAQ","false","COST-000183","AUD","true","01t1N00000EURMbQAP","0.0"
"a051N000041nhmeQAA","false","COST-000211","CAD","true","01t1N00000EURM2QAP","445.8"
"a051N000041nhmEQAQ","false","COST-000184","AUD","true","01t1N00000EURMcQAP","0.0"
"a051N000041nhmfQAA","false","COST-000212","CAD","true","01t1N00000EURLRQA5","482.3"
"a051N000041nhmFQAQ","false","COST-000185","AUD","true","01t1N00000EURLTQA5","161.7"
"a051N000041nhmgQAA","false","COST-000213","CAD","true","01t1N00000EURL5QAP","264.8"
"a051N000041nhmGQAQ","false","COST-000186","AUD","true","01t1N00000EURKzQAP","235.2"
"a051N000041nhmhQAA","false","COST-000214","CAD","true","01t1N00000EURL6QAP","288.4"
"a051N000041nhmHQAQ","false","COST-000187","AUD","true","01t1N00000EURKuQAP","446.6"
"a051N000041nhmiQAA","false","COST-000215","CAD","true","01t1N00000EURL7QAP","150.5"
"a051N000041nhmIQAQ","false","COST-000188","AUD","true","01t1N00000EURLrQAP","2288.0"
"a051N000041nhmjQAA","false","COST-000216","CAD","true","01t1N00000EURLcQAP","250.6"
"a051N000041nhmJQAQ","false","COST-000189","AUD","true","01t1N00000EURMdQAP","1064.0"
"a051N000041nhmkQAA","false","COST-000217","CAD","true","01t1N00000EURLEQA5","181.2"
"a051N000041nhmKQAQ","false","COST-000190","AUD","true","01t1N00000EURMeQAP","1596.0"
"a051N000041nhmlQAA","false","COST-000218","CAD","true","01t1N00000EURLgQAP","192.6"
